FundingOrgName,Department,Title,StartDate,EndDate,Status,GTRProjectUrl,FundingAmount
MRC,Biochemistry,Biochemical isolation and functional dissection of the CpG island proteome,14/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1985785,0.0
ESRC,Int Inst for Sign Lang and Deaf Studies,Peer to Peer Deaf Multiliteracies: research into a sustainable approach to education of Deaf children and young adults in the Global South,01/07/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/P008623/1,436101.0
BBSRC,Sch of Natural Sciences,Real-time in situ sensing of soil nitrogen status to promote enhanced nitrogen use efficiency in agricultural systems,01/05/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/P004539/1,316602.0
EPSRC,Medical Physics and Biomedical Eng,Clinical translation of photoacoustic imaging for the assessment of head and neck cancers,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NS/A000068/1,237898.0
ESRC,Sch of Social and Political Science,Tackling Fire in Informal Urban Settlements: An Interdisciplinary Approach,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/P01061X/1,392585.0
EPSRC,Dept of Aeronautics,Combustor thermoacoustics for multi-burner low emissions gas turbines (CHAMBER),01/01/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/P003036/1,757129.0
ESRC,Economics,"Technology, Monitoring and Teacher Support in Niger",01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/P005594/1,576704.0
BBSRC,Veterinary Pathology,Defining the genetic diversity of free living and intra-molluscan stages of Fasciola hepatica,01/10/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1843403,0.0
BBSRC,Human Development and Health,Correlative In Vivo Fluorescence and Micro-Computed Tomographic Imaging of Tissue Structure and Function,01/07/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/S019480/1,563091.0
NERC,Grantham Institute for Climate Change,"The large-scale oceanic distribution of trace elements: disentangling preformed contributions, regenerative processes, subsurface sources and sinks",01/07/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/M017826/2,196895.0
AHRC,Humanities,Survival of the Weakest: Preserving and Analysing Born-Digital Records to Understand How Small Poetry Publishers Survive in the Global Marketplace,01/06/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=AH/R00773X/1,194925.0
AHRC,Sch of Archit Design and Built Env,GCRF Development Award: Heritage Borders of Engagement Network (ENGAGE),01/07/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=AH/T005319/1,56622.0
EPSRC,Mechanical and Aerospace Engineering,The development of an organ on a chip platform.,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=2008256,0.0
EPSRC,Sch of Engineering and Physical Science,Adaptive Automatic Assessment for Engineering Education and Training.,01/09/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1813363,0.0
MRC,Cambridge Institute for Medical Research,Targeting PPP1R15 in malignancy,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=MR/R009120/1,355798.0
STFC,Physics and Astronomy,Improved X-ray cargo imaging using a novel high-throughput fast-detector setup.,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ST/R000131/1,359032.0
AHRC,Fitzwilliam Museum,Linking islands of data,01/02/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=AH/S012478/1,47839.0
BBSRC,Pharmacology,Translating the ubiquitin code in mitotic cells,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/R004137/1,394988.0
EPSRC,Electrical and Electronic Engineering,"Reducing the Threat to Public Safety: Improved metallic object characterisation, location and detection",01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/R002177/1,255621.0
ESRC,"Environment, Education and Development",GCRF Decent Work: Decent Work in Regional Value Chains: Promoting Public-Private Governance in Sub-Saharan Africa,01/01/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/S000453/1,694336.0
EPSRC,School of Chemistry,(Iso)alloxazine incorporating electrodes as high-performance organic energy storage materials,01/11/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/P00315X/1,697036.0
AHRC,Fac of Arts Creative Ind and Education,Making invisible stories visible: exploring opportunities provided by the intersection of physical/digital space in creating embodied story experience,01/10/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1938176,0.0
BBSRC,Chemistry,"Traceless, non-invasive and spatiotemporal control of protein activity in cells",01/07/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/P009980/1,510221.0
AHRC,English,Dickens and the Heritage Sector: Dickensland,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1942428,0.0
AHRC,"Sch of Social Sci, Edu & Social Work",Education in Divided Societies Network: the role of school collaboration in societies emerging from conflict,01/07/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=AH/T005491/1,54309.0
NERC,Meteorology,Better understanding of Interregional Teleconnections for prediction in the Monsoon and Poles,01/09/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/P006795/1,306436.0
ESRC,Geography,The Affective Geographies of Religion: 'Spirit' and Transformations in Evangelical Christianity.,01/10/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1906236,0.0
NERC,School of Ocean and Earth Science,Environmental tipping points during supercontinent breakup,02/07/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/R004978/1,40364.0
AHRC,Politics,Non-State Education and Ethnic Conflict in Myanmar,01/01/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=AH/S004084/1,53616.0
NERC,School of Earth and Environment,Reliable Earthquake Magnitudes for Induced Seismicity (REMIS),01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/R001154/1,426376.0
EPSRC,Registrar's Department,NPIF EPSRC CDT 2018 equipment funding University of Nottingham,01/01/2020,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/V518372/1,66666.0
BBSRC,School of Medicine,How does GG-NER complex-dependent chromatin remodeling initiate DNA damage recognition in chromatin by the Rad4-Rad23 damage recognition complex,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/R00756X/1,314723.0
BBSRC,Faculty of Engineering & the Environment,Real-time in situ sensing of soil nitrogen status to promote enhanced nitrogen use efficiency in agricultural systems,01/01/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/P004180/1,177437.0
NERC,Institute of Biomed & Clinical Science,Chicken or the Egg: Is AMR in the Environment Driven by Dissemination of Antibiotics or Antibiotic Resistance Genes?,01/06/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/N019717/1,249390.0
BBSRC,Chemistry,Developing liquid AP-MALDI MS as a rapid large-scale classification method for determining farm animal health,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/R002975/1,283113.0
NC3Rs,Biomedical Sciences,Utilising tissue-on-a-chip technology as an ex vivo model of breast cancer metastatic colonisation,01/07/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NC/T001232/1,75575.0
EPSRC,Chemistry,Nano-structured transparent electrodes for organic and perovskite photovoltaics,03/10/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1792519,0.0
STFC,School of Physics and Astronomy,Phenomenology from Lattice QCD and collider physics,01/10/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ST/P000746/1,771387.0
ESRC,Urban Studies and Planning,Developing the research and practice agenda for transformative justice,01/10/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/T009055/1,88439.0
MRC,Clinical Neurosciences,Repair of the corticospinal tract,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=MR/R004463/1,638866.0
EPSRC,Chemistry,A Fully-Automated Robotic System For Intelligent Chemical Reaction Screening,01/01/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/S009965/1,201478.0
EPSRC,Sch of Molecular & Cellular Biology,NPIF EPSRC CDT 2018 equipment funding University of Leeds,01/01/2020,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/V518414/1,40000.0
EPSRC,Materials,Aluminium nitride - graphene dual-mode sensors for cancer cell detection,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/P02985X/1,1158109.0
NERC,Earth Sciences,"Rift volcanism: past, present and future",01/09/2014,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/L01372X/1,588393.0
BBSRC,Faculty of Engineering & the Environment,Rhizosphere by design: breeding to select root traits that physically manipulate soil,31/12/2014,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/L025620/1,463899.0
BBSRC,Biological Sciences,Understanding and manipulating a conserved and essential transcription factor to activate antibiotic production in Streptomyces species,01/07/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/P005292/1,392667.0
STFC,School of Physics and Astronomy,Gravitational-wave Excellence through Alliance Training (GrEAT) Network with China,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ST/R002770/1,224991.0
ESRC,Sch of Psychology,Care pathways and outcomes: The teenage years,01/02/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/M011674/2,210185.0
EPSRC,Dept of Chemistry,Rapid Online Analysis of Reactions (ROAR),01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/R008825/1,2757688.0
MRC,Brain Sciences,Developing and validating blood and imaging BIOmarkers of AXonal injury following Traumatic Brain Injury,01/04/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=MR/R004528/1,223360.0
AHRC,Languages and Translation Studies,Global Watts: Allegories for all (1880-1980),25/09/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1946371,0.0
STFC,Computer Science,The UKRI ExCALIBUR Hardware And Enabling Software Programme: The UCL Adaptable Cluster Project (PERIOD ONE),01/01/2020,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ST/V001248/1,369773.0
EPSRC,Design,Citizen Naturewatch,01/01/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/P006256/1,771440.0
EPSRC,Mathematics and Statistics,"Riemann-Hilbert Problems, Toeplitz Determinants and Applications",27/09/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/T008636/1,62931.0
NERC,Geography and Environment,INTER-ACTION - 'Defining how we can act together to manage insurable risk',01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/R003297/1,224604.0
ESRC,War Studies,Tracing Ideational Change and Continuity in Concepts and Labels of War and Warfare in the North-Atlantic Area Since the End of the Cold War,01/10/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=2104368,0.0
BBSRC,Sch of Biology,Effects of ZnO on the pig gut microbiome and performance,01/10/2015,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/N504130/1,95042.0
BBSRC,Life Sciences,"NOSy - magnetic and wireless sensor technology for improving profit, biosecurity and carbon footprint of regional oyster production",01/01/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/S004203/1,150906.0
BBSRC,Biosciences,CRISPR-Cas9 gene drives to fight antimicrobial resistance,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/R010781/1,304163.0
AHRC,Sch of History,Gateways to the First World War (Phase 2),01/01/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=AH/P006655/1,501239.0
MRC,Dept of Surgery and Cancer,Macronutrients and Metabolic Health - Understanding how metabolic disease arises at the population level using metabolomics and lipidomics.,01/01/2020,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=MR/P011705/2,487025.0
AHRC,Sch of Historical Studies,"Re-evaluating the 1980s and 1990s through life histories: politics, privatisation and the culture of government research.",01/01/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1722004,0.0
ESRC,Department of International Development,A Tale of Two Green Valleys: Power Struggles over Data-Driven Agro-Innovation in Kenya's Rift Valley and California's Central Valley,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/P009603/1,537068.0
ESRC,Social Medicine,LONGITUDINAL ADMINISTRATIVE DATA SPINE SCOPING PROJECT GRANT FOR THE SPF UK POPULATION LAB WAVE I,10/12/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/S016732/1,236901.0
MRC,Maternal & Fetal Medicine,Gene therapy for Childhood Parkinsonism: Dopamine transporter deficiency syndrome,01/07/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=MR/R015325/1,495190.0
MRC,Sch of Psychology,Networks of neural dynamics: Knowledge-discovery for experimental neuroscience,01/04/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=MR/J008648/2,275891.0
BBSRC,Biosciences,Assessing the value and challenges of using citizen-science to understand plastic pollution in the marine environment,01/01/2020,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/T018461/1,20104.0
BBSRC,School of Food Science and Nutrition,Studies on the influence of novel triglyceride chemistry on fat crystallization,01/01/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1873184,0.0
MRC,Genetics and Molecular Medicine,Dissecting the mechanisms of immune-mediated inflammation: a systems-immunology approach,01/10/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=MR/T004142/1,201630.0
EPSRC,Sch of Health Sciences,NPIF EPSRC CDT 2018 equipment funding University of Salford,01/01/2020,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/V518517/1,13333.0
BBSRC,School of Life Sciences,Retaining the Ashes: The potential for ash populations to be restored following the dieback epidemic,01/07/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/R018944/1,274693.0
BBSRC,Ear Institute,Taiwan Partnering Award: Mosquito Research - From Sensory Biology to Vector Control,01/06/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/R021007/1,25284.0
NERC,School of Earth and Environment,International innovation follow-on for GCRF project UNRESP: Integration of air quality monitoring in Nicaragua's national hazard monitoring system,01/11/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/R009465/1,101813.0
EPSRC,Department of Chemical Engineering,"Holistic integration of technology, design and policy for a greener plastic future",01/01/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/S025456/1,1002951.0
NC3Rs,Biosciences Institute,Systems modelling age-related changes in the maintenance of dermal extra-cellular matrix: mechanisms and interventions.,01/01/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NC/S001050/1,393782.0
BBSRC,Biological Sciences,The assembly and folding pathway of porin cytochrome complexes in the bacterial outer membrane,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/P01819X/1,387360.0
EPSRC,Wolfson Brain Imaging Centre,PET Markers of Oligomeric Misfolded Proteins in Neurodegenerative Disorders,01/01/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/P008224/1,1041820.0
MRC,Biosciences Institute,Understanding the molecular and cellular complexity of human cornea through single cell analyses,15/12/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=MR/S035826/1,458770.0
MRC,MRC Clinical Trials Unit,MICA: randomized trial of therapy shortening for minimal TB with new WHO-recommended doses and FDC drugs in African/Indian HIV+/HIV- children,01/10/2014,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=MR/L004445/1,3713675.0
ESRC,Linguistics Philology and Phonetics,"Sociolinguistics - Codeswitching and code choice in Brussels, Belgium",01/10/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1923599,0.0
EPSRC,Chemical Engineering,A computing framework for Discrete Multiphysics,01/01/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/S019227/1,148823.0
BBSRC,Physiology Development and Neuroscience,Developmental regulation of muscle mitochondrial function,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/P019048/1,528228.0
ESRC,Speech Hearing and Phonetic Science,Speech masking effects in speech communication across the lifespan,01/06/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/P002803/1,482086.0
AHRC,School of Arts and Cultures,"Mapping Contemporary Art in the Heritage Experience: Creation, Consumption and Exchange",01/01/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=AH/N007557/1,630013.0
BBSRC,Blizard Institute of Cell and Molecular,Multiscale nuclear mechanobiology within the skin: from biophysical cues to epigenetic effects,02/05/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/P006108/1,469683.0
EPSRC,Chemistry,UKRI Circular Economy Approaches to Eliminate Plastic Waste - University of Cambridge,01/01/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/S025308/1,1010066.0
BBSRC,Sch of Informatics,Visual navigation in ants: from visual ecology to brain,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/R005052/1,290716.0
EPSRC,Dept of Surgery and Cancer,"ROAD2H: Resource Optimisation, Argumentation, Decision Support and Knowledge Transfer to Create Value via Learning Health Systems",01/05/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/P029558/1,1515899.0
NERC,Zoology,Food Security and Land Use: The Telecoupling Challenge,01/02/2015,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/M021386/1,106721.0
BBSRC,Psychology,Flexible perception: functional plasticity mechanisms in the human brain,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/P021255/1,497801.0
EPSRC,Electronics,A Citizen Science Based Approach to Automated Taxon Identification Using Computational Bioacoustics and Unsupervised Feature Learning,01/10/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1947382,0.0
BBSRC,Sch of Molecular & Cellular Biology,Regulation of polyphosphate metabolism in Chlamydomonas and potential for exploitation as P phosphorus sink in nutrient recovery systems,01/10/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/N016033/1,553691.0
EPSRC,Chemistry,Structural Dynamics in LOV Domain Photosensor Proteins,01/10/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/N033647/1,352952.0
ESRC,Government and International Affairs,Causes and Consequences of Electoral Violence: Evidence from England and Wales 1832-1914,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/P007775/1,504076.0
NERC,Centre for the Analysis of Time Series,Improving the Role of Information Systems in Anticipatory Disaster Risk Reduction (IRIS),01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/R01423X/1,258417.0
EPSRC,Mathematical Sciences,Complex stochastic systems.,01/04/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1850137,0.0
AHRC,Fac of Arts Creative Ind and Education,"Revitalising a Victorian underglaze print archive: investigating materials for roller composition married to new, safer lead-less inks",01/10/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1938420,0.0
EPSRC,Chemistry,Lanthanide complexes as chiral probes and labels,01/08/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/P025013/1,582867.0
NERC,Geography,"Understanding tree architecture, form and function in the tropics",01/06/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/P011780/1,203572.0
BBSRC,Physiology Development and Neuroscience,Multi modal imaging for the assessment of morphological changes in biological systems after chemical intervention,01/01/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1847004,0.0
BBSRC,Psychology,Causal Connections of the cortical face network studied with TMS and fMRI,30/06/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/P006981/1,407253.0
AHRC,ADM Birmingham Sch of Media,The use of big data and data visualisation in addressing young people's inequalities and their participation in cultural and social life.,01/10/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1946095,0.0
NERC,School of Earth and Ocean Sciences,Ocean carbon cycling since the middle Miocene: testing the metabolic hypothesis,01/07/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/N001621/1,601110.0
MRC,Clinical and Experimental Medicine,Development of a synthetic flowable dressing that prevents corneal scarring,01/08/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=MR/N019016/1,2222029.0
BBSRC,Institute of Infection and Global Health,A reverse vaccinology approach to developing a vaccine for bovine trichomoniasis,19/09/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1797320,0.0
NERC,Sch of Natural Sciences,Breaking the Barriers to Soil Testing on Pastures (Breaking-STEP),01/01/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/R017425/1,229099.0
AHRC,School of Arts,Practice-based research project into the event of choreographic performance as a site of embodied knowledge-generation,01/10/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1957100,0.0
EPSRC,Sch of Engineering,Understanding barriers to accurate early laboratory diagnosis and patient centric control of Gestational Diabetes Mellitus,01/01/2020,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/T013648/1,86472.0
BBSRC,Chemistry,Glycoenzymes for Bioindustries,01/10/2015,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/M029034/1,1243310.0
ESRC,Centre of Population Health Sciences,Biomedicine and Beyond: The Social and Regulatory Dimensions of Therapeutics in Japan and the UK,31/01/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/S013873/1,46134.0
EPSRC,School of Engineering and Informatics,Computational Methods for Anaerobic Digestion Optimization (CoMAnDO),01/04/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/R01485X/1,341481.0
ESRC,History Faculty,&quot;Gatsby in the country of The Leopard.,01/10/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1923825,0.0
NERC,Geography,NSFGEO-NERC: WOOD-BASED CARBON DISCHARGE TO THE ARCTIC OCEAN,01/05/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/R017530/1,54445.0
MRC,Faculty of Health Sciences,"Performance-based contracting for hospitals: a mixed methods analysis of impacts on patient outcomes, equity and efficiency in a middle income country",01/02/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=MR/N015916/1,389398.0
STFC,Sch of Engineering and Informatics,Novel X-ray/[gamma]-ray Detectors,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ST/R001804/1,365862.0
EPSRC,Sch of Mathematics,NPIF EPSRC CDT 2018 equipment funding University of Edinburgh,01/01/2020,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/V518268/1,26666.0
ESRC,Psychology,Taking back control: dealing with impulsive processes in digital health behaviour change.,01/01/2020,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/T009039/1,98007.0
AHRC,School of Advanced Study,AHRC Leadership Fellow for Science in Culture Theme - Application for Renewal,01/01/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=AH/N50452X/1,700240.0
ESRC,Applied Social Science,Designing for Ageing and Dementia International Research Network,01/01/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/S01408X/1,50351.0
EPSRC,S of Mathematical and Computer Sciences,Parallel Computation in Game AI,01/09/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1972112,0.0
MRC,Warwick Medical School,Neuroinflammation in endometriosis: macrophages behaving badly?,01/05/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=MR/M009238/2,109430.0
AHRC,School of Art,Developing an Action Plan for the Strategic Use of Design in the UK,01/06/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=AH/P005934/1,468095.0
EPSRC,Mechanical Aerospace and Civil Eng,A whole-life approach to the development of high integrity welding technologies for Generation IV fast reactors,30/06/2014,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/L015013/1,1024548.0
EPSRC,Sch Mechanical and Aerospace Engineering,Error-propagation Based Geometrical Quality Prediction and Control Strategy for Complex Manufacturing Processes Using Parallel Kinematic Machines,01/07/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/P025447/1,357947.0
EPSRC,Chemistry,Multiscale tuning of interfaces and surfaces for energy applications,01/01/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/P007821/1,2075702.0
MRC,Institute of Neurology,Neuropathological and amyloid peptide differences between DS and familial AD with duplications and missense mutations in APP gene,30/06/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=MR/S005145/1,264695.0
NERC,Life Sciences,Impacts of global warming in sentinel systems: from genes to ecosystems,01/01/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/M02086X/1,764323.0
BBSRC,Randall Div of Cell and Molecular Biophy,A Bessel beam light sheet microscope,01/07/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/S019065/1,348392.0
ESRC,Social Science,Transnational practices in local settings: Experiences of citizenship among Bangladesh-origin Muslims in London and Birmingham,01/09/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/N000986/2,132582.0
EPSRC,Dept of Physics,Theoretical Control of Trapped Ions,01/10/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1801511,0.0
ESRC,Sch of Social Sciences,Religion in multi-ethnic contexts: a multidisciplinary case study of global seafaring,01/06/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=ES/N019423/1,573928.0
EPSRC,Engineering,MENtOR: Methods and Experiments for NOvel Rotorcraft,01/07/2019,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/S009981/1,150931.0
EPSRC,Chemistry,RS Fellow - EPSRC grant (2016): Realising the Automated Materials Synthesiser,01/09/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/R005931/1,300571.0
NC3Rs,School of Medicine,Genetic screens in intestinal/colon organoid (mini-gut) culture using the CRISPR-Cas9 system.,01/07/2017,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NC/P001793/1,100125.0
MRC,Institute of Applied Health Research,TREATS-AF:Educational intervention vs usual care on anticoagulation therapy control based on a SAMe-TT2R2 score-guided strategy,01/04/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=MR/R020892/1,372958.0
EPSRC,School of Design,Citizen Nature Watch,01/12/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/P006353/1,351879.0
AHRC,Archaeology,"'Beyond the List' collaborative doctoral award and follows the advertised project overview, research aims and objectives and methodology. My research",01/10/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=1803596,0.0
EPSRC,Civil Environmental and Geomatic Eng,Development of a Novel Self-Healing Composite for Sustainable and Resilient Concrete Infrastructure,01/04/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/R041504/1,252989.0
BBSRC,Developmental Neurobiology,Optogenetic protein manipulation during asymmetric divisions in vertebrate brain development,01/01/2018,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/R001103/1,367789.0
EPSRC,Electrical and Electronic Engineering,Towards Ultimate Convergence of All Networks (TOUCAN),11/08/2014,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=EP/L020009/1,5893499.0
NERC,Inst of Geography and Earth Sciences,BLACK and BLOOM: variations in the albedo of the Greenland Ice Sheet as a result of interactions between microbes and particulates.,01/07/2015,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=NE/M020991/1,119080.0
BBSRC,Infection Immunity and Inflammation,MOLECULAR BASIS OF PKNB ESSENTIALITY IN MYCOBACTERIA,01/11/2016,31/12/2020,Active,https://gtr.ukri.org:443/projects?ref=BB/P001513/1,396391.0
